,Protein,Abundance,Sample,ID
4488,Protein Shroom2 ,0,I-16 PL,Q13796
4489,Protein-glutamine gamma-glutamyltransferase K ,0,I-16 PL,P22735
4490,Pyruvate kinase PKM ,0,I-16 PL,P14618
4491,Small proline-rich protein 2G ,0,I-16 PL,Q9BYE4
4492,Small ubiquitin-related modifier 3 ,0,I-16 PL,P55854
4493,Suprabasin ,0,I-16 PL,Q6UWP8
4494,Syndetin ,0,I-16 PL,Q96JG6
4495,Tubulin alpha-3D chain ,0,I-16 PL,P0DPH8
4496,Ubiquitin carboxyl-terminal hydrolase 32 ,0,I-16 PL,Q8NFA0
4497,Vesicle-fusing ATPase ,0,I-16 PL,P46459
4498,Vimentin ,0,I-16 PL,P08670
4499,Alpha-fetoprotein ,0,I-16 PL,P02771
4500,Coagulation factor X ,0,I-16 PL,P00742
4501,Immunoglobulin lambda variable 9-49 ,0,I-16 PL,A0A0B4J1Y8
4502,10 kDa heat shock protein  mitochondrial ,0,I-16 PL,P61604
4503,Adenosylhomocysteinase ,0,I-16 PL,P23526
4504,Diphosphoinositol polyphosphate phosphohydrolase 2 ,0,I-16 PL,Q9NZJ9
4505,Dynein axonemal heavy chain 1 ,0,I-16 PL,Q9P2D7
4506,GTP-binding nuclear protein Ran ,0,I-16 PL,P62826
4507,HCG40295 ,0,I-16 PL,F6WE04
4508,Heat shock 70 kDa protein 6 ,0,I-16 PL,P17066
4509,Histone acetyltransferase KAT6B ,0,I-16 PL,Q8WYB5
4510,Isocitrate dehydrogenase [NAD] subunit alpha  mitochondrial ,0,I-16 PL,P50213
4511,Isocitrate dehydrogenase [NADP] cytoplasmic ,1,I-16 PL,O75874
4512,Nebulin ,0,I-16 PL,P20929
4513,Prohibitin ,0,I-16 PL,P35232
4514,Protein disulfide-isomerase A3 ,0,I-16 PL,P30101
4515,Protein FAM135A ,0,I-16 PL,Q9P2D6
4516,Ras-related protein Rab-5A ,0,I-16 PL,P20339
4517,Talin-2 ,0,I-16 PL,Q9Y4G6
4518,C1q domain-containing protein,0,I-16 PL,Q6IMN6
4519,Retinol-binding protein 4 ,0,I-16 PL,P02753
4520,IgGFc-binding protein ,0,I-16 PL,Q9Y6R7
4521,Glial fibrillary acidic protein  ,1,I-16 PL,P14136
4522,HAUS augmin-like complex subunit 3 ,0,I-16 PL,Q68CZ6
4523,Heat shock 70 kDa protein 1A ,0,I-16 PL,P0DMV8
4524,Histone H2B type 3-B ,0,I-16 PL,Q8N257
4525,Immunoglobulin lambda variable 1-44 ,0,I-16 PL,P01699
4526,Interleukin-1 receptor accessory protein ,0,I-16 PL,Q9NZN1
4527,Protein S100-A7 ,0,I-16 PL,P31151
4528,Tumor protein D52 ,0,I-16 PL,P55327
4529,Zinc finger MYND domain-containing protein 11 ,0,I-16 PL,Q15326
4530,Aspartate aminotransferase  mitochondrial ,0,I-16 PL,P00505
4531,ATP synthase F(0) complex subunit C1  mitochondrial ,0,I-16 PL,P05496
4532,ATP synthase F(0) complex subunit C2  mitochondrial ,0,I-16 PL,Q06055
4533,ATP-binding cassette sub-family G member 4 ,0,I-16 PL,Q9H172
4534,Chondroitin sulfate synthase 3 ,0,I-16 PL,Q70JA7
4535,Fibrinogen beta chain ,0,I-16 PL,P02675
4536,Fructose-bisphosphate aldolase A ,0,I-16 PL,P04075
4537,Gamma-enolase ,0,I-16 PL,P09104
4538,Histone H2B type 1-B ,0,I-16 PL,P33778
4539,Histone H2B type 2-E ,0,I-16 PL,Q16778
4540,Immunoglobulin heavy variable 2-70D ,0,I-16 PL,A0A0C4DH43
4541,Immunoglobulin kappa joining 1 ,0,I-16 PL,A0A0A0MT89
4542,Microtubule-associated serine/threonine-protein kinase 3 ,0,I-16 PL,O60307
4543,POTE ankyrin domain family member I,0,I-16 PL,P0CG38
4544,Ras-related protein Rab-5C ,0,I-16 PL,P51148
4545,S-adenosylmethionine synthase ,0,I-16 PL,P31153
4546,Serine/arginine-rich splicing factor 3 ,0,I-16 PL,P84103
4547,Small nuclear ribonucleoprotein Sm D3 ,0,I-16 PL,P62318
4548,T-complex protein 1 subunit theta ,0,I-16 PL,Q96SF2
4549,Calmodulin-like protein 5 ,0,I-16 PL,Q9NZT1
4550,Chloride intracellular channel protein 1 ,0,I-16 PL,O00299
4551,Inactive pancreatic lipase-related protein 1 ,0,I-16 PL,P54315
4552,Methyl-CpG-binding domain protein 5 ,0,I-16 PL,Q9P267
4553,Myelin expression factor 2 ,0,I-16 PL,Q9P2K5
4554,Proline-rich protein 36 ,0,I-16 PL,Q9H6K5
4555,RPL22 ,0,I-16 PL,P35268
4556,Tubulin beta-4B chain ,0,I-16 PL,P68371
4557,Ubiquitin-protein ligase E3B ,0,I-16 PL,Q7Z3V4
4558,Bridge-like lipid transfer protein family member 2  ,0,I-16 PL,Q14667
4559,Dynein regulatory complex protein 10 ,0,I-16 PL,Q96DY2
4560,Fructose-bisphosphate aldolase ,0,I-16 PL,P05062
4561,Glutamine synthetase ,0,I-16 PL,P15104
4562,Hypoxia-inducible factor 3-alpha ,0,I-16 PL,Q9Y2N7
4563,Polyadenylate-binding protein ,0,I-16 PL,Q4VXU2
4564,Pyruvate kinase ,0,I-16 PL,P30613
4565,Ras-related protein Rab-5B ,0,I-16 PL,P61020
4566,26S proteasome regulatory subunit 4 ,0,I-16 PL,P62191
4567,Aconitate hydratase  mitochondrial ,0,I-16 PL,Q99798
4568,Hemoglobin subunit beta ,0,I-16 PL,P68871
4569,MAP kinase-activating death domain protein ,0,I-16 PL,Q8WXG6
4570,Myosin light polypeptide 6 ,0,I-16 PL,P60660
4571,Prolactin-inducible protein ,0,I-16 PL,P12273
4572,Rho family-interacting cell polarization regulator 1 ,0,I-16 PL,Q6ZS17
4573,Ribosome biogenesis protein SPATA5 ,0,I-16 PL,Q8NB90
4574,Serpin B3 ,0,I-16 PL,P29508
4575,Tubby protein homolog ,1,I-16 PL,P50607
4576,Uncharacterized protein KIAA0825 ,0,I-16 PL,Q8IV33
4577,Zymogen granule protein 16 homolog B ,0,I-16 PL,Q96DA0
4578,Four and a half LIM domains protein 1  ,0,I-16 PL,Q13642
4579,Immunoglobulin heavy variable 2-70 ,0,I-16 PL,P01814
4580,Mucin-19 ,1,I-16 PL,Q7Z5P9
4581,Perilipin-3 ,0,I-16 PL,O60664
4582,Proline-serine-threonine phosphatase-interacting protein 2 ,0,I-16 PL,Q9H939
4583,Acyl-coenzyme A thioesterase 8 ,0,I-16 PL,O14734
4584,Cystatin-B ,0,I-16 PL,P04080
4585,Moesin ,0,I-16 PL,P26038
4586,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha ,0,I-16 PL,O00443
4587,Tubby-like protein ,1,I-16 PL,O00294
4588,Apolipoprotein C-II ,0,I-16 PL,P02655
4589,Beta-enolase ,0,I-16 PL,P13929
4590,Citrate synthase  ,0,I-16 PL,O75390
4591,Ezrin ,0,I-16 PL,P15311
4592,Nesprin-2 ,0,I-16 PL,Q8WXH0
4593,Protein unc-80 homolog ,0,I-16 PL,Q8N2C7
4594,Protocadherin Fat 4 ,0,I-16 PL,Q6V0I7
4595,Retroviral-like aspartic protease 1 ,0,I-16 PL,Q53RT3
4596,Tryptophan--tRNA ligase  cytoplasmic ,0,I-16 PL,P23381
4597,Extracellular matrix protein 1 ,0,I-16 PL,Q16610
4598,EH domain-binding protein 1-like protein 1 ,0,I-16 PL,Q8N3D4
4599,FERM and PDZ domain-containing protein 1 ,0,I-16 PL,Q5SYB0
4600,Sulfhydryl oxidase 1 ,0,I-16 PL,O00391
4601,Collagen alpha-2(XI) chain ,0,I-16 PL,P13942
4602,Glycine--tRNA ligase ,0,I-16 PL,P41250
4603,Protein SON,0,I-16 PL,P18583
4604,TSC22 domain family protein 2 ,0,I-16 PL,O75157
4605,Tubulin beta-8 chain ,0,I-16 PL,Q3ZCM7
4606,Stress-70 protein  mitochondrial ,0,I-16 PL,P38646
4607,Dedicator of cytokinesis protein 1 ,0,I-16 PL,Q14185
4608,Immunoglobulin heavy variable 3-73 ,0,I-16 PL,A0A0B4J1V6
4609,Immunoglobulin heavy variable 3-64 ,0,I-16 PL,A0A075B6Q5
4610,Proline/serine-rich coiled-coil protein 1 ,0,I-16 PL,Q6PGN9
4611,SERPIN domain-containing protein  ,1,I-16 PL,A8MTL9
4612,Deleted in malignant brain tumors 1 protein ,0,I-16 PL,Q9UGM3
4613,Immunoglobulin lambda variable 1-40 ,0,I-16 PL,P01703
4614,NCK-interacting protein with SH3 domain ,0,I-16 PL,Q9NZQ3
4615,Submaxillary gland androgen-regulated protein 3B ,0,I-16 PL,P02814
4616,T-complex protein 1 subunit gamma ,0,I-16 PL,P49368
4617,Clathrin coat assembly protein AP180 ,0,I-16 PL,O60641
4618,78 kDa glucose-regulated protein ,0,I-16 PL,P11021
4619,Bleomycin hydrolase ,0,I-16 PL,Q13867
4620,Immunoglobulin kappa variable 3D-15 ,0,I-16 PL,A0A087WSY6
4621,Protein S100-A9 ,0,I-16 PL,P06702
4622,Ras-related protein Rab-7a ,0,I-16 PL,P51149
4623,DNA replication licensing factor MCM4 ,0,I-16 PL,P33991
4624,Fibrinogen alpha chain ,0,I-16 PL,P02671
4625,Protein S100-A8 ,0,I-16 PL,P05109
4626,Fermitin family homolog 3 ,0,I-16 PL,Q86UX7
4627,Fibrinogen gamma chain ,0,I-16 PL,P02679
4628,26S proteasome regulatory subunit 8 ,0,I-16 PL,P62195
4629,Propionyl-CoA carboxylase beta chain  mitochondrial ,0,I-16 PL,P05166
4630,Immunoglobulin kappa variable 6-21 ,0,I-16 PL,A0A0C4DH24
4631,14-3-3 protein zeta/delta ,0,I-16 PL,P63104
4632,Immunoglobulin lambda variable 3-19 ,0,I-16 PL,P01714
4633,POTE ankyrin domain family member E,0,I-16 PL,Q6S8J3
4634,Putative beta-actin-like protein 3 ,0,I-16 PL,Q9BYX7
4635,Protein disulfide-isomerase ,0,I-16 PL,Q14554
4636,Phosphoglycerate kinase 1 ,0,I-16 PL,P00558
4637,Talin-1 ,0,I-16 PL,Q9Y490
4638,Tetratricopeptide repeat protein 39A ,0,I-16 PL,Q5SRH9
4639,Complement component C8 gamma chain ,0,I-16 PL,P07360
4640,Profilin-1 ,0,I-16 PL,P07737
4641,Hemicentin-2 ,0,I-16 PL,Q8NDA2
4642,Eukaryotic initiation factor 4A-I ,0,I-16 PL,P60842
4643,Glutathione peroxidase 3 ,0,I-16 PL,P22352
4644,RNA helicase ,0,I-16 PL,Q14562
4645,Glutathione S-transferase ,0,I-16 PL,O15217
4646,Glutathione S-transferase P ,0,I-16 PL,P09211
4647,GTP-binding protein SAR1a ,0,I-16 PL,Q9NR31
4648,14-3-3 protein sigma ,0,I-16 PL,P31947
4649,60S ribosomal protein L22 ,0,I-16 PL,Q6P5R6
4650,ATP-binding cassette sub-family B member 5 ,0,I-16 PL,Q2M3G0
4651,Phosphatidylcholine translocator ABCB4 ,0,I-16 PL,P21439
4652,40S ribosomal protein S8 ,0,I-16 PL,P62241
4653,GTP-binding protein SAR1b ,0,I-16 PL,Q9Y6B6
4654,Heterogeneous nuclear ribonucleoprotein A1 ,0,I-16 PL,A0A2R8Y4L2
4655,Tubulin beta-4A chain ,0,I-16 PL,P04350
4656,Immunoglobulin kappa variable 1-9 ,0,I-16 PL,A0A0C4DH69
4657,Dystonin ,0,I-16 PL,Q03001
4658,Radixin ,0,I-16 PL,P35241
4659,BPI fold-containing family B member 1 ,1,I-16 PL,Q8TDL5
4660,Properdin ,0,I-16 PL,P27918
4661,Eukaryotic initiation factor 4A-II ,0,I-16 PL,Q14240
4662,Probable non-functional immunoglobulin heavy variable 3-35 ,1,I-16 PL,A0A0C4DH35
4663,Immunoglobulin heavy variable 4-31 ,1,I-16 PL,P0DP07
4664,Immunoglobulin heavy variable 4-30-2 ,1,I-16 PL,A0A087WSY4
4665,Elongation factor 1-delta ,0,I-16 PL,P29692
4666,Sushi domain-containing protein,1,I-16 PL,Q6UWL2
4667,ATP synthase subunit beta  ,1,I-16 PL,P06576
4668,Immunoglobulin kappa variable 1D-12 ,0,I-16 PL,P01611
4669,Immunoglobulin heavy variable 4-59 ,1,I-16 PL,P01825
4670,Immunoglobulin heavy variable 4-34 ,1,I-16 PL,P06331
4671,Immunoglobulin heavy variable 4-61 ,1,I-16 PL,A0A0C4DH41
4672,TAR DNA-binding protein 43 ,0,I-16 PL,Q13148
4673,Immunoglobulin heavy variable 3-53 ,0,I-16 PL,P01767
4674,Immunoglobulin heavy variable 4-30-4 ,1,I-16 PL,P0DP06
4675,Immunoglobulin heavy variable 3-66 ,0,I-16 PL,A0A0C4DH42
4676,Immunoglobulin kappa variable 1-12 ,0,I-16 PL,A0A0C4DH73
4677,Immunoglobulin lambda variable 3-9 ,0,I-16 PL,A0A075B6K5
4678,Immunoglobulin heavy variable 3-11 ,0,I-16 PL,P01762
4679,Heat shock protein beta-1 ,0,I-16 PL,P04792
4680,Immunoglobulin kappa variable 2-28 ,0,I-16 PL,A0A075B6P5
4681,Immunoglobulin kappa variable 2D-26 ,0,I-16 PL,A0A0A0MRZ7
4682,Immunoglobulin kappa variable 2D-28 ,1,I-16 PL,P01615
4683,Immunoglobulin lambda constant 6 ,0,I-16 PL,P0CF74
4684,Immunoglobulin lambda variable 3-25 ,1,I-16 PL,P01717
4685,Immunoglobulin heavy variable 2-26 ,0,I-16 PL,A0A0B4J1V2
4686,Immunoglobulin lambda variable 8-61 ,0,I-16 PL,A0A075B6I0
4687,Leucine-rich alpha-2-glycoprotein ,0,I-16 PL,P02750
4688,Cholesteryl ester transfer protein ,0,I-16 PL,P11597
4689,Immunoglobulin kappa variable 6D-21 ,0,I-16 PL,A0A0A0MT36
4690,Immunoglobulin lambda variable 2-18 ,0,I-16 PL,A0A075B6J9
4691,Immunoglobulin heavy variable 4-28 ,0,I-16 PL,A0A0C4DH34
4692,Immunoglobulin lambda variable 6-57 ,0,I-16 PL,P01721
4693,SH3 and multiple ankyrin repeat domains protein 1 ,0,I-16 PL,Q9Y566
4694,Apolipoprotein M ,0,I-16 PL,O95445
4695,Adiponectin ,0,I-16 PL,Q86V24
4696,Immunoglobulin heavy variable 1-24 ,0,I-16 PL,A0A0C4DH33
4697,Uncharacterized protein ZSWIM9 ,0,I-16 PL,Q86XI8
4698,Apolipoprotein A-II ,0,I-16 PL,P02652
4699,Alpha-1-acid glycoprotein 2 ,0,I-16 PL,P19652
4700,Immunoglobulin kappa variable 2-24 ,0,I-16 PL,A0A0C4DH68
4701,Complement factor D ,0,I-16 PL,P00746
4702,Immunoglobulin kappa variable 1D-16 ,0,I-16 PL,P01601
4703,Immunoglobulin heavy variable 7-4-1 ,0,I-16 PL,A0A0J9YVY3
4704,Beta-Ala-His dipeptidase ,0,I-16 PL,Q96KN2
4705,Coagulation factor XIII A chain ,0,I-16 PL,P00488
4706,Selenoprotein P ,0,I-16 PL,P49908
4707,Coagulation factor IX ,0,I-16 PL,P00740
4708,Transferrin receptor protein 1 ,0,I-16 PL,P02786
4709,Probable non-functional immunoglobulin kappa variable 2D-24 ,0,I-16 PL,A0A075B6R9
4710,Immunoglobulin lambda variable 1-51 ,0,I-16 PL,P01701
4711,Pigment epithelium-derived factor ,0,I-16 PL,P36955
4712,Immunoglobulin kappa variable 1-17 ,0,I-16 PL,P01599
4713,Complement C1q subcomponent subunit C ,0,I-16 PL,P02747
4714,Galectin-3-binding protein ,0,I-16 PL,A6NE02
4715,Immunoglobulin kappa variable 2D-30 ,0,I-16 PL,A0A075B6S6
4716,Immunoglobulin kappa variable 2D-29 ,0,I-16 PL,A0A075B6S2
4717,Immunoglobulin kappa variable 2-29 ,0,I-16 PL,A2NJV5
4718,Immunoglobulin kappa variable 1D-33 ,0,I-16 PL,P01593
4719,Immunoglobulin kappa variable 1-33 ,0,I-16 PL,P01594
4720,Immunoglobulin kappa variable 1D-8 ,0,I-16 PL,A0A087WSZ0
4721,Coagulation factor XIII B chain ,0,I-16 PL,P05160
4722,Immunoglobulin kappa variable 1-5 ,0,I-16 PL,P01602
4723,Immunoglobulin kappa variable 2-30 ,0,I-16 PL,P06310
4724,Immunoglobulin kappa variable 1-13 ,0,I-16 PL,P0DP09
4725,Immunoglobulin kappa variable 1D-13 ,0,I-16 PL,A0A0B4J2D9
4726,Complement C1s subcomponent ,0,I-16 PL,P09871
4727,Complement C1q subcomponent subunit A ,0,I-16 PL,P02745
4728,Immunoglobulin heavy variable 3-20 ,0,I-16 PL,A0A0C4DH32
4729,Immunoglobulin lambda-like polypeptide 1 ,0,I-16 PL,P15814
4730,Alpha-1-acid glycoprotein 1 ,0,I-16 PL,P02763
4731,Complement component C7 ,1,I-16 PL,P10643
4732,Immunoglobulin kappa variable 2-40 ,0,I-16 PL,A0A087WW87
4733,Immunoglobulin kappa variable 2D-40 ,0,I-16 PL,P01614
4734,Complement C1r subcomponent-like protein ,0,I-16 PL,Q9NZP8
4735,Fibulin-1 ,0,I-16 PL,P23142
4736,Protein AMBP ,0,I-16 PL,P02760
4737,Zinc-alpha-2-glycoprotein ,0,I-16 PL,P25311
4738,Immunoglobulin heavy variable 3-74 ,1,I-16 PL,A0A0B4J1X5
4739,Ficolin-3 ,0,I-16 PL,O75636
4740,Probable non-functional immunoglobulin kappa variable 3-7 ,1,I-16 PL,A0A075B6H7
4741,Immunoglobulin heavy variable 3-43D ,0,I-16 PL,P0DP04
4742,Complement C2 ,0,I-16 PL,P06681
4743,Complement factor H-related protein 2 ,0,I-16 PL,P36980
4744,Corticosteroid-binding globulin ,0,I-16 PL,P08185
4745,Immunoglobulin heavy variable 3-30-3 ,1,I-16 PL,P0DP02
4746,Serum paraoxonase/arylesterase 1 ,0,I-16 PL,P27169
4747,Immunoglobulin heavy variable 3-33 ,1,I-16 PL,P01772
4748,Immunoglobulin heavy variable 3-21 ,1,I-16 PL,A0A0B4J1V1
4749,Lumican ,0,I-16 PL,P51884
4750,Coagulation factor XII ,0,I-16 PL,P00748
4751,Immunoglobulin heavy variable 3-72 ,1,I-16 PL,A0A0B4J1Y9
4752,Thyroxine-binding globulin ,0,I-16 PL,P05543
4753,Inter-alpha-trypsin inhibitor heavy chain H2 ,0,I-16 PL,P19823
4754,Complement factor I ,0,I-16 PL,P05156
4755,Alpha-2-antiplasmin ,0,I-16 PL,P08697
4756,Plasma protease C1 inhibitor ,0,I-16 PL,P05155
4757,Vitamin K-dependent protein S ,0,I-16 PL,P07225
4758,Collagen alpha-1(XII) chain ,0,I-16 PL,Q99715
4759,Immunoglobulin lambda constant 7 ,0,I-16 PL,A0M8Q6
4760,Alpha-1-antichymotrypsin ,0,I-16 PL,P01011
4761,Hemopexin ,0,I-16 PL,P02790
4762,Complement C4-B ,0,I-16 PL,P0C0L5
4763,Inter-alpha-trypsin inhibitor heavy chain H4 ,0,I-16 PL,Q14624
4764,Alpha-1-antitrypsin ,1,I-16 PL,P20848
4765,Immunoglobulin heavy constant gamma 1 ,1,I-16 PL,P01857
4766,Thrombospondin-1 ,1,I-16 PL,P07996
4767,Apolipoprotein F ,0,I-16 PL,Q13790
4768,Immunoglobulin heavy variable 1-3 ,0,I-16 PL,A0A0C4DH29
4769,Apolipoprotein B-100 ,0,I-16 PL,P04114
4770,Plasma serine protease inhibitor ,1,I-16 PL,P05154
4771,Immunoglobulin J chain ,1,I-16 PL,P01591
4772,Apolipoprotein L1 ,1,I-16 PL,O14791
4773,Phosphatidylcholine-sterol acyltransferase ,0,I-16 PL,P04180
4774,Protein Z-dependent protease inhibitor ,0,I-16 PL,Q9UK55
4775,Complement component C9 ,1,I-16 PL,P02748
4776,Immunoglobulin heavy variable 3-7 ,1,I-16 PL,P01780
4777,CD5 antigen-like ,0,I-16 PL,O43866
4778,Immunoglobulin lambda variable 3-10 ,1,I-16 PL,A0A075B6K4
4779,Probable non-functional immunoglobulinn kappa variable 1D-37 ,0,I-16 PL,P0DSN7
4780,Probable non-functional immunoglobulinn kappa variable 1-37 ,0,I-16 PL,A0A075B6S9
4781,Fetuin-B ,0,I-16 PL,Q9UGM5
4782,Immunoglobulin heavy variable 1-8 ,0,I-16 PL,P0DP01
4783,Carboxypeptidase B2 ,0,I-16 PL,Q96IY4
4784,Phospholipid transfer protein ,0,I-16 PL,P55058
4785,Immunoglobulin kappa variable 3-20 ,1,I-16 PL,P01619
4786,Immunoglobulin heavy variable 1-46 ,0,I-16 PL,P01743
4787,Haptoglobin ,1,I-16 PL,P00738
4788,Immunoglobulin heavy variable 1-2 ,0,I-16 PL,P23083
4789,Immunoglobulin heavy variable 1-69D ,0,I-16 PL,A0A0B4J2H0
4790,Immunoglobulin kappa variable 1-6 ,0,I-16 PL,A0A0C4DH72
4791,Gelsolin ,0,I-16 PL,P06396
4792,Serum amyloid P-component ,1,I-16 PL,P02743
4793,Immunoglobulin heavy variable 3-49 ,1,I-16 PL,A0A0A0MS15
4794,Immunoglobulin kappa variable 3-11 ,0,I-16 PL,P04433
4795,Lipopolysaccharide-binding protein ,0,I-16 PL,P18428
4796,Immunoglobulin lambda variable 3-27 ,1,I-16 PL,P01718
4797,Immunoglobulin heavy variable 1-69-2 ,1,I-16 PL,A0A0G2JMI3
4798,Immunoglobulin heavy variable 1-18 ,0,I-16 PL,A0A0C4DH31
4799,Beta-2-glycoprotein 1 ,1,I-16 PL,P02749
4800,Immunoglobulin kappa variable 1-39 ,0,I-16 PL,P01597
4801,Immunoglobulin kappa variable 1D-39 ,0,I-16 PL,P04432
4802,Vitronectin ,0,I-16 PL,P04004
4803,Kininogen-1 ,0,I-16 PL,P01042
4804,Hepatocyte growth factor activator ,0,I-16 PL,Q04756
4805,Immunoglobulin heavy variable 3-23 ,1,I-16 PL,P01764
4806,Hyaluronan-binding protein 2 ,0,I-16 PL,Q14520
4807,Immunoglobulin heavy constant alpha 1 ,1,I-16 PL,P01876
4808,Plasma kallikrein ,0,I-16 PL,P03952
4809,Complement C1r subcomponent ,0,I-16 PL,P00736
4810,Angiotensinogen ,1,I-16 PL,P01019
4811,Alpha-2-HS-glycoprotein ,0,I-16 PL,P02765
4812,Complement component C6 ,0,I-16 PL,P13671
4813,Immunoglobulin kappa variable 3D-20 ,1,I-16 PL,A0A0C4DH25
4814,Immunoglobulin heavy constant mu ,1,I-16 PL,P01871
4815,Immunoglobulin heavy variable 3-15 ,1,I-16 PL,A0A0B4J1V0
4816,Immunoglobulin kappa variable 1-27 ,0,I-16 PL,A0A075B6S5
4817,C4b-binding protein alpha chain ,1,I-16 PL,P04003
4818,Plasminogen ,1,I-16 PL,Q15195
4819,Immunoglobulin kappa variable 1-8 ,0,I-16 PL,A0A0C4DH67
4820,Carboxypeptidase N subunit 2 ,0,I-16 PL,P22792
4821,Immunoglobulin lambda variable 1-47 ,0,I-16 PL,P01700
4822,Immunoglobulin kappa variable 1-16 ,0,I-16 PL,P04430
4823,Complement factor B ,1,I-16 PL,P00751
4824,Fibronectin ,1,I-16 PL,Q9H6D8
4825,Immunoglobulin lambda constant 3 ,1,I-16 PL,P0DOY3
4826,Immunoglobulin heavy variable 4-38-2 ,1,I-16 PL,P0DP08
4827,Immunoglobulin heavy variable 3-9 ,1,I-16 PL,P01782
4828,Immunoglobulin kappa variable 3D-7 ,1,I-16 PL,A0A0C4DH55
4829,Immunoglobulin heavy variable 4-4 ,1,I-16 PL,A0A075B6R2
4830,Prothrombin ,0,I-16 PL,P00734
4831,Kallistatin ,0,I-16 PL,P29622
4832,Complement component C8 beta chain ,0,I-16 PL,P07358
4833,Apolipoprotein D ,1,I-16 PL,P05090
4834,Immunoglobulin lambda constant 2 ,0,I-16 PL,P0DOY2
4835,Haptoglobin-related protein ,0,I-16 PL,P00739
4836,N-acetylmuramoyl-L-alanine amidase ,0,I-16 PL,Q96PD5
4837,Immunoglobulin lambda variable 3-21 ,1,I-16 PL,P80748
4838,Antithrombin-III ,0,I-16 PL,P01008
4839,Heparin cofactor 2 ,1,I-16 PL,P05546
4840,Complement C3 ,0,I-16 PL,P01024
4841,Immunoglobulin heavy variable 4-39 ,1,I-16 PL,P01824
4842,Immunoglobulin heavy constant gamma 4 ,1,I-16 PL,P01861
4843,Immunoglobulin heavy constant alpha 2 ,1,I-16 PL,P01877
4844,Immunoglobulin heavy constant delta ,1,I-16 PL,P01880
4845,Ceruloplasmin ,1,I-16 PL,P00450
4846,Complement factor H ,1,I-16 PL,P08603
4847,Vitamin D-binding protein ,0,I-16 PL,P02774
4848,Alpha-1B-glycoprotein ,1,I-16 PL,P04217
4849,Complement C5 ,1,I-16 PL,P01031
4850,Insulin-like growth factor-binding protein complex acid labile subunit ,0,I-16 PL,P35858
4851,Immunoglobulin kappa variable 3-15 ,1,I-16 PL,P01624
4852,Immunoglobulin kappa constant ,0,I-16 PL,P01834
4853,Immunoglobulin lambda constant 1 ,0,I-16 PL,P0CG04
4854,Immunoglobulin lambda-like polypeptide 5 ,0,I-16 PL,B9A064
4855,Immunoglobulin heavy constant gamma 3 ,1,I-16 PL,P01860
4856,Complement C1q subcomponent subunit B ,0,I-16 PL,P02746
4857,Immunoglobulin heavy variable 3-13 ,1,I-16 PL,P01766
4858,Complement component C8 alpha chain ,0,I-16 PL,P07357
4859,Albumin ,1,I-16 PL,P02768
4860,Inter-alpha-trypsin inhibitor heavy chain H1 ,0,I-16 PL,P19827
4861,Afamin ,0,I-16 PL,P43652
4862,Immunoglobulin kappa variable 4-1 ,0,I-16 PL,P06312
4863,Histidine-rich glycoprotein ,0,I-16 PL,P04196
4864,Immunoglobulin heavy variable 5-51 ,1,I-16 PL,A0A0C4DH38
4865,Immunoglobulin heavy constant gamma 2 ,0,I-16 PL,P01859
4866,Complement C4-A ,0,I-16 PL,P0C0L4
4867,Serotransferrin ,0,I-16 PL,P02787
4868,Alpha-2-macroglobulin ,0,I-16 PL,P01023
4869,Clusterin ,1,MB,Q15846
4870,Apolipoprotein E ,1,MB,P02649
4871,Actin  cytoplasmic 2 ,1,MB,P63261
4872,Heat shock cognate 71 kDa protein ,1,MB,P11142
4873,Annexin ,1,MB,O76027
4874,Glyceraldehyde-3-phosphate dehydrogenase ,1,MB,O14556
4875,Actin  cytoplasmic 1 ,1,MB,P60709
4876,Heterogeneous nuclear ribonucleoproteins C1/C2 ,1,MB,P07910
4877,Polyubiquitin-C ,1,MB,P0CG48
4878,40S ribosomal protein SA ,1,MB,A0A8I5KQE6
4879,Tubulin alpha-1A chain ,1,MB,Q71U36
4880,Tubulin alpha-1B chain ,1,MB,P68363
4881,Cathepsin D ,1,MB,P07339
4882,Corneodesmosin ,1,MB,Q15517
4883,Histone H2A ,1,MB,P04908
4884,Desmoplakin ,1,MB,P14923
4885,Histone H3 ,1,MB,P68431
4886,Arginase-1 ,1,MB,P05089
4887,Coagulation factor V ,1,MB,P12259
4888,Heterogeneous nuclear ribonucleoprotein U ,1,MB,Q1KMD3
4889,Heat shock protein HSP 90-alpha ,1,MB,Q14568
4890,Histone H1.2 ,1,MB,P16403
4891,Tubulin alpha-1C chain ,1,MB,Q9BQE3
4892,Tubulin alpha chain ,1,MB,A6NHL2
4893,Dipeptidyl peptidase 1 ,1,MB,P53634
4894,Histone H2B type 2-F ,1,MB,Q5QNW6
4895,Cofilin-1 ,1,MB,P23528
4896,Polyubiquitin-B ,1,MB,P0CG47
4897,ATP synthase subunit alpha  mitochondrial ,1,MB,P25705
4898,Annexin A2 ,1,MB,A6NMY6
4899,Desmocollin-1 ,1,MB,Q08554
4900,Dermokine ,1,MB,Q6E0U4
4901,Histone H4 ,1,MB,P62805
4902,Histone H1.5 ,1,MB,P16401
4903,Heat shock protein HSP 90-beta ,1,MB,Q58FF6
4904,Histone H3.3 ,1,MB,P84243
4905,Tubulin beta chain ,1,MB,P07437
4906,Histone H1.3 ,1,MB,P16402
