,Protein,Abundance,Sample
5037,Ficolin-3 ,0,I-16 PL
5038,Probable non-functional immunoglobulin kappa variable 3-7 ,1,I-16 PL
5039,Immunoglobulin heavy variable 3-43D ,0,I-16 PL
5040,C3/C5 convertase ,0,I-16 PL
5041,Complement C2 ,0,I-16 PL
5042,Complement factor H-related protein 2 ,0,I-16 PL
5043,Corticosteroid-binding globulin ,0,I-16 PL
5044,Immunoglobulin heavy variable 3-30-3 ,0,I-16 PL
5045,Serum paraoxonase/arylesterase 1 ,0,I-16 PL
5046,Immunoglobulin heavy variable 3-33 ,0,I-16 PL
5047,Immunoglobulin heavy variable 3-21 ,1,I-16 PL
5048,Lumican ,0,I-16 PL
5049,Coagulation factor XII ,0,I-16 PL
5050,Immunoglobulin heavy variable 3-72 ,1,I-16 PL
5051,Thyroxine-binding globulin ,0,I-16 PL
5052,Inter-alpha-trypsin inhibitor heavy chain H2 ,0,I-16 PL
5053,Complement factor I ,0,I-16 PL
5054,Alpha-2-antiplasmin ,0,I-16 PL
5055,Plasma protease C1 inhibitor ,0,I-16 PL
5056,Vitamin K-dependent protein S ,0,I-16 PL
5057,Collagen alpha-1(XII) chain ,0,I-16 PL
5058,Immunoglobulin lambda constant 7 ,0,I-16 PL
5059,ITIH4 protein ,0,I-16 PL
5060,Alpha-1-antichymotrypsin ,0,I-16 PL
5061,Hemopexin ,0,I-16 PL
5062,Complement C4-B ,0,I-16 PL
5063,Inter-alpha-trypsin inhibitor heavy chain H4 ,0,I-16 PL
5064,Alpha-1-antitrypsin ,0,I-16 PL
5065,Immunoglobulin heavy constant gamma 1 ,0,I-16 PL
5066,Thrombospondin-1 ,1,I-16 PL
5067,Apolipoprotein F ,0,I-16 PL
5068,Immunoglobulin heavy variable 1-3 ,0,I-16 PL
5069,Apolipoprotein A-I ,1,I-16 PL
5070,Apolipoprotein B-100 ,0,I-16 PL
5071,Plasma serine protease inhibitor ,1,I-16 PL
5072,Immunoglobulin J chain ,1,I-16 PL
5073,Apolipoprotein L1 ,1,I-16 PL
5074,Phosphatidylcholine-sterol acyltransferase ,0,I-16 PL
5075,Protein Z-dependent protease inhibitor ,0,I-16 PL
5076,Complement component C9 ,1,I-16 PL
5077,Immunoglobulin heavy variable 3-7 ,1,I-16 PL
5078,CD5 antigen-like ,0,I-16 PL
5079,Immunoglobulin lambda variable 3-10 ,1,I-16 PL
5080,Probable non-functional immunoglobulinn kappa variable 1D-37 ,0,I-16 PL
5081,Probable non-functional immunoglobulinn kappa variable 1-37 ,0,I-16 PL
5082,Fetuin-B ,0,I-16 PL
5083,Immunoglobulin heavy variable 1-8 ,0,I-16 PL
5084,Carboxypeptidase B2 ,0,I-16 PL
5085,Phospholipid transfer protein ,0,I-16 PL
5086,Immunoglobulin kappa variable 3-20 ,1,I-16 PL
5087,Immunoglobulin heavy variable 1-46 ,0,I-16 PL
5088,Haptoglobin ,1,I-16 PL
5089,Immunoglobulin heavy variable 1-2 ,0,I-16 PL
5090,Immunoglobulin heavy variable 1-69D ,0,I-16 PL
5091,Immunoglobulin kappa variable 1-6 ,0,I-16 PL
5092,Gelsolin ,0,I-16 PL
5093,Serum amyloid P-component ,1,I-16 PL
5094,Immunoglobulin heavy variable 3-49 ,1,I-16 PL
5095,Immunoglobulin kappa variable 3-11 ,0,I-16 PL
5096,Complement subcomponent C1r ,0,I-16 PL
5097,Lipopolysaccharide-binding protein ,0,I-16 PL
5098,Immunoglobulin lambda variable 3-27 ,1,I-16 PL
5099,Immunoglobulin heavy variable 1-69-2 ,1,I-16 PL
5100,Immunoglobulin heavy variable 1-18 ,0,I-16 PL
5101,Beta-2-glycoprotein 1 ,0,I-16 PL
5102,Immunoglobulin kappa variable 1-39 ,0,I-16 PL
5103,Immunoglobulin kappa variable 1D-39 ,0,I-16 PL
5104,Vitronectin ,0,I-16 PL
5105,Kininogen-1 ,0,I-16 PL
5106,Hepatocyte growth factor activator ,0,I-16 PL
5107,Immunoglobulin heavy variable 3-23 ,1,I-16 PL
5108,Hyaluronan-binding protein 2 ,0,I-16 PL
5109,Immunoglobulin heavy constant alpha 1 ,1,I-16 PL
5110,Plasma kallikrein ,0,I-16 PL
5111,Ig-like domain-containing protein  ,1,I-16 PL
5112,Complement C1r subcomponent ,0,I-16 PL
5113,Angiotensinogen ,1,I-16 PL
5114,Alpha-2-HS-glycoprotein ,0,I-16 PL
5115,Complement component C6 ,0,I-16 PL
5116,Immunoglobulin kappa variable 3D-20 ,1,I-16 PL
5117,Immunoglobulin heavy constant mu ,1,I-16 PL
5118,Immunoglobulin heavy variable 3-15 ,1,I-16 PL
5119,Immunoglobulin kappa variable 1-27 ,0,I-16 PL
5120,C4b-binding protein alpha chain ,1,I-16 PL
5121,Plasminogen ,1,I-16 PL
5122,Immunoglobulin kappa variable 1-8 ,0,I-16 PL
5123,Carboxypeptidase N subunit 2 ,0,I-16 PL
5124,Immunoglobulin lambda variable 1-47 ,0,I-16 PL
5125,Immunoglobulin kappa variable 1-16 ,0,I-16 PL
5126,Complement factor B ,1,I-16 PL
5127,Fibronectin ,1,I-16 PL
5128,Immunoglobulin lambda constant 3 ,0,I-16 PL
5129,Immunoglobulin heavy variable 4-38-2 ,0,I-16 PL
5130,Immunoglobulin heavy variable 3-9 ,1,I-16 PL
5131,Immunoglobulin kappa variable 3/,1,I-16 PL
5132,Immunoglobulin kappa variable 3D-7 ,1,I-16 PL
5133,Immunoglobulin heavy variable 4-4 ,0,I-16 PL
5134,Prothrombin ,0,I-16 PL
5135,Kallistatin ,0,I-16 PL
5136,Complement component C8 beta chain ,0,I-16 PL
5137,Apolipoprotein D ,0,I-16 PL
5138,Immunoglobulin lambda constant 2 ,0,I-16 PL
5139,Haptoglobin-related protein ,0,I-16 PL
5140,N-acetylmuramoyl-L-alanine amidase ,0,I-16 PL
5141,Immunoglobulin lambda variable 3-21 ,1,I-16 PL
5142,Antithrombin-III ,0,I-16 PL
5143,Heparin cofactor 2 ,1,I-16 PL
5144,Complement C3 ,0,I-16 PL
5145,Immunoglobulin heavy variable 4-39 ,0,I-16 PL
5146,Immunoglobulin heavy constant gamma 4 ,0,I-16 PL
5147,Immunoglobulin heavy constant alpha 2 ,0,I-16 PL
5148,Immunoglobulin heavy constant delta ,1,I-16 PL
5149,Ceruloplasmin ,0,I-16 PL
5150,Complement factor H ,0,I-16 PL
5151,Vitamin D-binding protein ,0,I-16 PL
5152,Alpha-1B-glycoprotein ,1,I-16 PL
5153,Complement C5 ,1,I-16 PL
5154,Insulin-like growth factor-binding protein complex acid labile subunit ,0,I-16 PL
5155,Immunoglobulin kappa variable 3-15 ,1,I-16 PL
5156,Immunoglobulin kappa constant ,0,I-16 PL
5157,Immunoglobulin lambda constant 1 ,0,I-16 PL
5158,Immunoglobulin lambda-like polypeptide 5 ,0,I-16 PL
5159,Immunoglobulin heavy constant gamma 3 ,0,I-16 PL
5160,Immunoglobulin heavy constant gamma 3  ,0,I-16 PL
5161,Complement C1q subcomponent subunit B ,0,I-16 PL
5162,Immunoglobulin heavy variable 3-13 ,1,I-16 PL
5163,Complement component C8 alpha chain ,0,I-16 PL
5164,Albumin ,0,I-16 PL
5165,Immunoglobulin heavy variable 3/,1,I-16 PL
5166,Inter-alpha-trypsin inhibitor heavy chain H1 ,0,I-16 PL
5167,Afamin ,0,I-16 PL
5168,Immunoglobulin kappa variable 4-1 ,0,I-16 PL
5169,Histidine-rich glycoprotein ,0,I-16 PL
5170,Immunoglobulin heavy variable 5-51 ,0,I-16 PL
5171,Immunoglobulin heavy constant gamma 2 ,0,I-16 PL
5172,Complement C4-A ,0,I-16 PL
5173,Serotransferrin ,0,I-16 PL
5174,Alpha-2-macroglobulin ,0,I-16 PL
5175,Clusterin ,1,MB
5176,Apolipoprotein E ,1,MB
5177,Actin  cytoplasmic 2 ,1,MB
5178,Heat shock cognate 71 kDa protein ,1,MB
5179,Annexin ,1,MB
5180,Glyceraldehyde-3-phosphate dehydrogenase ,1,MB
5181,Actin  cytoplasmic 1 ,1,MB
5182,Heterogeneous nuclear ribonucleoproteins C1/C2 ,1,MB
5183,Polyubiquitin-C ,1,MB
5184,40S ribosomal protein SA ,1,MB
5185,Tubulin alpha-1A chain ,1,MB
5186,Tubulin alpha-1B chain ,1,MB
5187,Cathepsin D ,1,MB
5188,Corneodesmosin ,1,MB
5189,Histone H2A ,1,MB
5190,Desmoplakin ,1,MB
5191,Histone H3 ,1,MB
5192,Arginase-1 ,1,MB
5193,Coagulation factor V ,1,MB
5194,Heterogeneous nuclear ribonucleoprotein U ,0,MB
5195,Heat shock protein HSP 90-alpha ,1,MB
5196,Histone H1.2 ,1,MB
5197,Tubulin alpha-1C chain ,1,MB
5198,Tubulin alpha chain ,1,MB
5199,Junction plakoglobin ,1,MB
5200,Dipeptidyl peptidase 1 ,1,MB
5201,Histone H2B type 2-F ,1,MB
5202,Cofilin-1 ,1,MB
5203,Polyubiquitin-B ,1,MB
5204,ATP synthase subunit alpha  mitochondrial ,1,MB
5205,Annexin A2 ,1,MB
5206,Desmocollin-1 ,1,MB
5207,Dermokine ,1,MB
5208,Histone H4 ,0,MB
5209,Peptidase A1 domain-containing protein ,1,MB
5210,Histone H1.5 ,1,MB
5211,Heat shock protein HSP 90-beta ,1,MB
5212,Histone H3.3 ,1,MB
5213,Tubulin beta chain ,1,MB
5214,Histone H1.3 ,1,MB
5215,Histone H1.4 ,1,MB
5216,Histone H2A type 2-B ,1,MB
5217,Heat shock protein 75 kDa  mitochondrial ,1,MB
5218,Filaggrin-2 ,1,MB
5219,Alpha-enolase ,1,MB
5220,Lysozyme C ,1,MB
5221,Histone H2B ,1,MB
5222,Histone H2B type 1-C/E/F/G/I ,1,MB
5223,Histone H2B type 1-D ,1,MB
5224,Histone H2B type 1-H ,1,MB
5225,Histone H2B type 1-L ,1,MB
5226,Histone H2B type 1-M ,1,MB
5227,Histone H2B type 1-N ,1,MB
5228,Histone H2B type 1-K ,1,MB
5229,Histone H2B type F-S ,1,MB
5230,Immunoglobulin kappa variable 3D-11 ,1,MB
5231,Apolipoprotein C-III ,1,MB
5232,Dermcidin ,1,MB
5233,Ubiquitin-60S ribosomal protein L40 ,1,MB
5234,Cofilin-2 ,1,MB
5235,L-lactate dehydrogenase A chain ,1,MB
5236,C-reactive protein ,1,MB
5237,Hornerin ,1,MB
5238,Protein POF1B,1,MB
5239,Phosphopyruvate hydratase ,1,MB
5240,Histone H3.1 ,1,MB
5241,Histone H3.1t ,1,MB
5242,Histone H3.2 ,1,MB
5243,60S ribosomal protein L7a ,1,MB
5244,BRI3-binding protein ,1,MB
5245,Heterogeneous nuclear ribonucleoprotein C-like 2 ,1,MB
5246,Ubiquitin-40S ribosomal protein S27a ,1,MB
5247,Apolipoprotein(a) ,1,MB
5248,60 kDa heat shock protein  mitochondrial ,1,MB
5249,Histone H2AX ,1,MB
5250,Histone H2A type 1-D ,1,MB
5251,Histone H2A type 1 ,1,MB
5252,Histone H2A type 1-B/E ,1,MB
5253,Beta-actin-like protein 2 ,1,MB
5254,Histone H2A type 1-H ,1,MB
5255,Histone H2A type 2-A ,1,MB
5256,Histone H2A type 2-C ,1,MB
5257,Histone H2A type 1-C ,1,MB
5258,Histone H2A.J ,1,MB
5259,Histone H2A type 3 ,1,MB
5260,Peptidyl-prolyl cis-trans isomerase ,1,MB
5261,Peptidyl-prolyl cis-trans isomerase A ,1,MB
5262,Histone H2A type 1-A ,1,MB
5263,Histone H2A type 1-J ,1,MB
5264,Immunoglobulin heavy variable 3-64D ,1,MB
5265,Heterogeneous nuclear ribonucleoprotein C-like 4 ,1,MB
5266,Desmoglein-1 ,1,MB
5267,Lipocalin-1 ,1,MB
5268,Galectin-7 ,1,MB
5269,Putative lipocalin 1-like protein 1 ,1,MB
5270,Proteasome subunit alpha type ,1,MB
5271,Plastin-2 ,1,MB
5272,T-complex protein 1 subunit delta ,1,MB
5273,Elongation factor 1-gamma ,1,MB
5274,HCG2029799 ,1,MB
5275,ATPase family AAA domain-containing protein 2B ,1,MB
5276,Nucleoprotein TPR ,1,MB
5277,Peroxiredoxin-1 ,1,MB
5278,60S ribosomal protein L6 ,1,MB
5279,Heterogeneous nuclear ribonucleoprotein C-like 1 ,1,MB
5280,Heterogeneous nuclear ribonucleoprotein C-like 3 ,1,MB
5281,Probable non-functional immunoglobulin heavy variable 3-16 ,1,MB
5282,Triosephosphate isomerase ,1,MB
5283,60S ribosomal protein L11 ,1,MB
5284,Plakophilin-1 ,1,MB
5285,Sarcosine dehydrogenase  mitochondrial ,1,MB
5286,Proteasome subunit alpha type-6 ,1,MB
5287,60S ribosomal protein L7 ,1,MB
5288,Immunoglobulin heavy variable 3-48 ,0,MB
5289,Apolipoprotein A-IV ,1,MB
5290,Catalase ,1,MB
5291,Peroxiredoxin-2 ,1,MB
5292,Elongation factor 2 ,1,MB
5293,Immunoglobulin heavy variable 5-10-1 ,1,MB
5294,ELAV-like protein 1 ,1,MB
5295,Immunoglobulin heavy variable 3-30-5 ,1,MB
5296,Immunoglobulin heavy variable 3-30 ,1,MB
5297,40S ribosomal protein S21 ,0,MB
5298,40S ribosomal protein S25 ,0,MB
5299,40S ribosomal protein S6 ,0,MB
5300,Alpha-amylase 2B ,0,MB
5301,Aspartate aminotransferase  cytoplasmic ,0,MB
5302,ATP synthase F(0) complex subunit C3  mitochondrial ,0,MB
5303,ATPase family AAA domain-containing protein 2B  ,0,MB
5304,C4b-binding protein beta chain ,0,MB
5305,Calpain-1 catalytic subunit ,0,MB
5306,Coiled-coil domain-containing protein 174 ,0,MB
5307,Cytosolic 5'-nucleotidase 3A ,0,MB
5308,Disco-interacting protein 2 homolog B ,0,MB
5309,DNA repair protein REV1 ,0,MB
5310,Double-stranded RNA-specific editase 1 ,0,MB
5311,Dual specificity protein phosphatase CDC14A ,0,MB
5312,Filamin-C ,0,MB
5313,Glucosylceramide transporter ABCA12 ,0,MB
5314,Heat shock 70kDa protein 9B (Mortalin-2) ,0,MB
5315,Kinesin-like protein KIF21A ,0,MB
5316,MICAL-like protein 1 ,0,MB
5317,Myosin-9 ,0,MB
5318,Nephrocystin-4 ,0,MB
5319,Non-histone chromosomal protein HMG-17 ,0,MB
5320,Partitioning defective 3 homolog ,0,MB
5321,PAX-interacting protein 1 ,0,MB
5322,Phosphatidylinositol 3 4 5-trisphosphate-dependent Rac exchanger 1 protein ,0,MB
5323,Protein FAM83G ,0,MB
5324,Protein phosphatase 1 regulatory inhibitor subunit 16B ,0,MB
5325,Serpin B12 ,0,MB
5326,SKI/DACH domain-containing protein 1 ,0,MB
5327,Small ubiquitin-related modifier 2 ,0,MB
5328,Transketolase ,0,MB
5329,Transthyretin ,0,MB
5330,Tryptophan--tRNA ligase  ,0,MB
5331,Tyrosine-protein kinase ABL1 ,0,MB
5332,Tyrosine-protein kinase ABL2 ,0,MB
5333,Zinc finger protein 445 ,0,MB
5334,Zinc finger protein castor homolog 1 ,0,MB
5335,Adapter SH3BGRL ,0,MB
5336,ATP-binding cassette sub-family F member 1 ,0,MB
5337,Clathrin heavy chain 2 ,0,MB
5338,Cohesin subunit SA-3 ,0,MB
5339,Histone H2B type 1-A ,0,MB
5340,Histone H2B type 2-K1 ,0,MB
5341,Midasin ,0,MB
5342,POTE ankyrin domain family member F,0,MB
5343,Phosphate carrier protein  mitochondrial ,0,MB
5344,Polyadenylate-binding protein 1 ,0,MB
5345,Protein Shroom2 ,0,MB
5346,Protein-glutamine gamma-glutamyltransferase K ,0,MB
5347,Putative annexin A2-like protein ,0,MB
5348,Pyruvate kinase PKM ,0,MB
5349,Small proline-rich protein 2G ,0,MB
5350,Small ubiquitin-related modifier 3 ,0,MB
5351,Suprabasin ,0,MB
5352,Syndetin ,0,MB
5353,Tubulin alpha-3D chain ,0,MB
5354,Ubiquitin carboxyl-terminal hydrolase 32 ,0,MB
5355,Vesicle-fusing ATPase ,0,MB
5356,Vimentin ,0,MB
5357,Alpha-fetoprotein ,0,MB
5358,Coagulation factor X ,0,MB
5359,Immunoglobulin lambda variable 9-49 ,0,MB
5360,10 kDa heat shock protein  mitochondrial ,0,MB
5361,Adenosylhomocysteinase ,0,MB
5362,ATP synthase lipid-binding protein ,0,MB
5363,Citrate synthase  mitochondrial ,0,MB
5364,Diphosphoinositol polyphosphate phosphohydrolase 2 ,0,MB
5365,Dynein axonemal heavy chain 1 ,0,MB
5366,GTP-binding nuclear protein Ran ,0,MB
5367,HCG40295 ,0,MB
5368,Heat shock 70 kDa protein 6 ,0,MB
5369,Histone acetyltransferase KAT6B ,0,MB
5370,Isocitrate dehydrogenase [NAD] subunit alpha  mitochondrial ,0,MB
5371,Isocitrate dehydrogenase [NADP] cytoplasmic ,0,MB
5372,Nebulin ,0,MB
5373,Polyadenylate-binding protein 1-like ,0,MB
5374,Prohibitin ,0,MB
5375,Protein disulfide-isomerase A3 ,0,MB
5376,Protein FAM135A ,0,MB
5377,Ras-related protein Rab-5A ,0,MB
5378,Talin-2 ,0,MB
5379,C1q domain-containing protein,0,MB
5380,Retinol-binding protein ,0,MB
5381,Retinol-binding protein 4 ,0,MB
5382,IgGFc-binding protein ,0,MB
5383,Glial fibrillary acidic protein  ,0,MB
5384,HAUS augmin-like complex subunit 3 ,0,MB
5385,Heat shock 70 kDa protein 1A ,0,MB
5386,Histone H2B type 3-B ,0,MB
5387,Immunoglobulin lambda variable 1-44 ,0,MB
5388,Interleukin-1 receptor accessory protein ,0,MB
5389,Protein S100-A7 ,0,MB
5390,Tumor protein D52 ,0,MB
5391,Zinc finger MYND domain-containing protein 11 ,0,MB
5392,Aspartate aminotransferase  mitochondrial ,0,MB
5393,ATP synthase F(0) complex subunit C1  mitochondrial ,0,MB
5394,ATP synthase F(0) complex subunit C2  mitochondrial ,0,MB
5395,ATP-binding cassette sub-family G member 4 ,0,MB
5396,Chondroitin sulfate synthase 3 ,0,MB
5397,Fibrinogen beta chain ,0,MB
5398,Fructose-bisphosphate aldolase A ,0,MB
5399,Gamma-enolase ,0,MB
5400,Histone H2B type 1-,0,MB
5401,Histone H2B type 1-B ,0,MB
5402,Histone H2B type 2-E ,0,MB
5403,Immunoglobulin heavy variable 2-70D ,0,MB
5404,Immunoglobulin kappa joining 1 ,0,MB
5405,Microtubule-associated serine/threonine-protein kinase 3 ,0,MB
5406,POTE ankyrin domain family member I,0,MB
5407,Protein KIAA0100 ,0,MB
5408,Ras-related protein Rab-5C ,0,MB
5409,S-adenosylmethionine synthase ,0,MB
5410,Serine/arginine-rich splicing factor 3 ,0,MB
5411,Small nuclear ribonucleoprotein Sm D3 ,0,MB
5412,T-complex protein 1 subunit theta ,0,MB
5413,Calmodulin-like protein 5 ,0,MB
5414,Chloride intracellular channel protein 1 ,0,MB
5415,Histone H2B type 1-J ,0,MB
5416,Inactive pancreatic lipase-related protein 1 ,0,MB
5417,Methyl-CpG-binding domain protein 5 ,0,MB
5418,Myelin expression factor 2 ,0,MB
5419,Proline-rich protein 36 ,0,MB
5420,RPL22 ,0,MB
5421,Tubulin beta-4B chain ,0,MB
5422,Ubiquitin-protein ligase E3B ,0,MB
5423,Bridge-like lipid transfer protein family member 2  ,0,MB
5424,Dynein regulatory complex protein 10 ,0,MB
5425,Fructose-bisphosphate aldolase ,0,MB
5426,Glutamine synthetase ,0,MB
5427,Hypoxia-inducible factor 3-alpha ,0,MB
5428,Polyadenylate-binding protein ,0,MB
5429,Pyruvate kinase ,0,MB
5430,Ras-related protein Rab-5B ,0,MB
5431,SLIT-R,0,MB
5432,26S proteasome regulatory subunit 4 ,0,MB
5433,Aconitate hydratase  mitochondrial ,0,MB
5434,Endoplasmic reticulum chaperone BiP ,0,MB
5435,Hemoglobin subunit beta ,0,MB
5436,MAP kinase-activating death domain protein ,0,MB
5437,Myosin light polypeptide 6 ,0,MB
5438,Non-specific serine/threonine protein kinase ,0,MB
5439,Prolactin-inducible protein ,0,MB
5440,Rho family-interacting cell polarization regulator 1 ,0,MB
5441,Ribosome biogenesis protein SPATA5 ,0,MB
5442,Serpin B3 ,0,MB
5443,Tubby protein homolog ,0,MB
5444,Uncharacterized protein KIAA0825 ,0,MB
5445,Zymogen granule protein 16 homolog B ,0,MB
5446,Four and a half LIM domains protein 1  ,0,MB
5447,Immunoglobulin heavy variable 2-70 ,0,MB
5448,Mucin-19 ,0,MB
5449,Perilipin-3 ,0,MB
5450,Proline-serine-threonine phosphatase-interacting protein 2 ,0,MB
5451,Acyl-coenzyme A thioesterase 8 ,0,MB
5452,Cystatin-B ,0,MB
5453,Moesin ,0,MB
5454,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha ,0,MB
5455,Tubby-like protein ,0,MB
5456,Apolipoprotein C-II ,0,MB
5457,Beta-enolase ,0,MB
5458,Citrate synthase  ,0,MB
5459,Ezrin ,0,MB
5460,Nesprin-2 ,0,MB
5461,Protein unc-80 homolog ,0,MB
5462,Protocadherin Fat 4 ,0,MB
5463,Retroviral-like aspartic protease 1 ,0,MB
5464,Tryptophan--tRNA ligase  cytoplasmic ,0,MB
5465,Extracellular matrix protein 1 ,0,MB
5466,EH domain-binding protein 1-like protein 1 ,0,MB
5467,FERM and PDZ domain-containing protein 1 ,0,MB
5468,Sulfhydryl oxidase 1 ,0,MB
5469,Collagen alpha-2(XI) chain ,0,MB
5470,Glycine--tRNA ligase ,0,MB
5471,Protein SON,0,MB
5472,TSC22 domain family protein 2 ,0,MB
5473,Tubulin beta-8 chain ,0,MB
5474,Stress-70 protein  mitochondrial ,0,MB
5475,Dedicator of cytokinesis protein 1 ,0,MB
5476,Immunoglobulin heavy variable 3-73 ,0,MB
5477,Immunoglobulin heavy variable 3-64 ,0,MB
5478,Proline/serine-rich coiled-coil protein 1 ,0,MB
5479,SERPIN domain-containing protein  ,0,MB
5480,Deleted in malignant brain tumors 1 protein ,0,MB
5481,Immunoglobulin lambda variable 1-40 ,0,MB
5482,NCK-interacting protein with SH3 domain ,0,MB
5483,Submaxillary gland androgen-regulated protein 3B ,0,MB
5484,T-complex protein 1 subunit gamma ,0,MB
5485,Clathrin coat assembly protein AP180 ,0,MB
5486,78 kDa glucose-regulated protein ,0,MB
5487,Bleomycin hydrolase ,0,MB
5488,Immunoglobulin kappa variable 3D-15 ,0,MB
5489,Protein S100-A9 ,0,MB
5490,Immunoglobulin kappa variable 1/,0,MB
5491,Ras-related protein Rab-7a ,0,MB
5492,DNA replication licensing factor MCM4 ,0,MB
5493,Fibrinogen alpha chain ,0,MB
5494,Protein S100-A8 ,0,MB
5495,Fermitin family homolog 3 ,0,MB
5496,Fibrinogen gamma chain ,0,MB
5497,26S proteasome regulatory subunit 8 ,0,MB
5498,Propionyl-CoA carboxylase beta chain  mitochondrial ,0,MB
5499,Immunoglobulin kappa variable 6-21 ,0,MB
5500,14-3-3 protein zeta/delta ,0,MB
5501,Immunoglobulin lambda variable 3-19 ,0,MB
5502,POTE ankyrin domain family member E,0,MB
5503,Putative beta-actin-like protein 3 ,0,MB
5504,Protein disulfide-isomerase ,0,MB
5505,Phosphoglycerate kinase 1 ,0,MB
5506,Talin-1 ,0,MB
5507,Tetratricopeptide repeat protein 39A ,0,MB
5508,Complement component C8 gamma chain ,0,MB
5509,Profilin ,0,MB
5510,Profilin-1 ,0,MB
5511,Hemicentin-2 ,0,MB
5512,Eukaryotic initiation factor 4A-I ,0,MB
5513,Glutathione peroxidase 3 ,0,MB
5514,RNA helicase ,0,MB
5515,Glutathione S-transferase ,0,MB
5516,Glutathione S-transferase P ,0,MB
5517,GTP-binding protein SAR1a ,0,MB
5518,Immunoglobulin heavy variable 1-69 ,0,MB
5519,14-3-3 protein sigma ,0,MB
5520,60S ribosomal protein L22 ,0,MB
5521,ATP-binding cassette sub-family B member 5 ,0,MB
5522,Phosphatidylcholine translocator ABCB4 ,0,MB
5523,40S ribosomal protein S8 ,0,MB
5524,GTP-binding protein SAR1b ,0,MB
5525,Heterogeneous nuclear ribonucleoprotein A1 ,0,MB
5526,Tubulin beta-4A chain ,0,MB
5527,Immunoglobulin kappa variable 1-9 ,0,MB
5528,Dystonin ,0,MB
5529,Radixin ,0,MB
5530,BPI fold-containing family B member 1 ,0,MB
5531,Properdin ,0,MB
5532,Eukaryotic initiation factor 4A-II ,0,MB
5533,Probable non-functional immunoglobulin heavy variable 3-35 ,1,MB
5534,Immunoglobulin heavy variable 4-31 ,0,MB
5535,Immunoglobulin heavy variable 4-30-2 ,0,MB
5536,Elongation factor 1-delta ,0,MB
5537,Sushi domain-containing protein,0,MB
5538,ATP synthase subunit beta  ,0,MB
5539,Immunoglobulin kappa variable 1D-12 ,0,MB
5540,Immunoglobulin heavy variable 4-59 ,0,MB
5541,Immunoglobulin heavy variable 4-34 ,0,MB
5542,Immunoglobulin heavy variable 4-61 ,0,MB
5543,TAR DNA-binding protein 43 ,0,MB
5544,Immunoglobulin heavy variable 3-53 ,0,MB
5545,Immunoglobulin heavy variable 4-30-4 ,0,MB
5546,ATP synthase subunit beta  mitochondrial ,0,MB
5547,Immunoglobulin heavy variable 3-66 ,0,MB
5548,Immunoglobulin kappa variable 1-12 ,0,MB
5549,Immunoglobulin lambda variable 3-9 ,0,MB
5550,Immunoglobulin heavy variable 3-11 ,0,MB
5551,Heat shock protein beta-1 ,0,MB
5552,Immunoglobulin kappa variable 2-28 ,0,MB
5553,Immunoglobulin kappa variable 2D-26 ,0,MB
5554,Immunoglobulin kappa variable 2D-28 ,0,MB
5555,Immunoglobulin lambda constant 6 ,0,MB
5556,Immunoglobulin lambda variable 3-25 ,1,MB
5557,Immunoglobulin heavy variable 1/,0,MB
5558,Immunoglobulin heavy variable 2-26 ,0,MB
5559,Immunoglobulin lambda variable 8-61 ,0,MB
5560,Leucine-rich alpha-2-glycoprotein ,0,MB
5561,Cholesteryl ester transfer protein ,0,MB
5562,Immunoglobulin kappa variable 6D-21 ,0,MB
5563,Immunoglobulin lambda variable 2-18 ,0,MB
5564,Immunoglobulin heavy variable 4-28 ,0,MB
5565,Immunoglobulin lambda variable 6-57 ,0,MB
5566,SH3 and multiple ankyrin repeat domains protein 1 ,0,MB
5567,Apolipoprotein M ,0,MB
5568,Adiponectin ,0,MB
5569,Immunoglobulin heavy variable 1-24 ,0,MB
5570,Uncharacterized protein ZSWIM9 ,0,MB
5571,Apolipoprotein A-II ,0,MB
5572,Alpha-1-acid glycoprotein 2 ,0,MB
5573,Immunoglobulin kappa variable 2-24 ,0,MB
5574,Complement factor D ,0,MB
5575,Immunoglobulin kappa variable 1D-16 ,0,MB
5576,Immunoglobulin heavy variable 7-4-1 ,0,MB
5577,Beta-Ala-His dipeptidase ,0,MB
5578,Coagulation factor XIII A chain ,0,MB
5579,Selenoprotein P ,0,MB
5580,Coagulation factor IX ,0,MB
5581,Transferrin receptor protein 1 ,0,MB
5582,Probable non-functional immunoglobulin kappa variable 2D-24 ,0,MB
5583,Immunoglobulin lambda variable 1-51 ,0,MB
5584,Pigment epithelium-derived factor ,0,MB
5585,Immunoglobulin kappa variable 1-17 ,0,MB
5586,Complement C1q subcomponent subunit C ,1,MB
5587,Galectin-3-binding protein ,0,MB
5588,Immunoglobulin kappa variable 2D-30 ,0,MB
5589,Immunoglobulin kappa variable 2D-29 ,0,MB
5590,Immunoglobulin kappa variable 2-29 ,0,MB
5591,Immunoglobulin kappa variable 1D-33 ,1,MB
5592,Immunoglobulin kappa variable 1-33 ,1,MB
5593,Immunoglobulin kappa variable 1D-8 ,0,MB
5594,Coagulation factor XIII B chain ,0,MB
5595,Immunoglobulin kappa variable 1-5 ,0,MB
5596,Immunoglobulin kappa variable 2-30 ,0,MB
5597,Immunoglobulin kappa variable 1-13 ,0,MB
5598,Immunoglobulin kappa variable 1D-13 ,0,MB
5599,Complement C1s subcomponent ,1,MB
